Time,Voltage,Throttled_Status,Ring_Oscillation,RPI_Model,GPIO_Pin,MAC_Address,Operating_System,Device_Machine,Computer_Name,IP_Address,Uptime,Boottime,CPU_Temp,CPU%,CPU_count,System_Calls,Current_CPU_Freq,Min_CPU_Freq,Max_CPU_Freq,System_Load_Avg_1Min,System_Load_Avg_5Min,System_Load_Avg_15Min,Process_Most_CPU,Physical_Memory,RAM_Usage,Memory%_Availabe,Memory%_Used,Process_Most_Memory,Disk_Usage,Disk_Space,Number_bytes_sent,Number_bytes_received,Number_packets_sent,Number_packets_received
2022-02-28 14:32:53.555143,0.926,0x0,2.584,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 12 minutes",2022-02-28 10:20:38,54.53,13.6,4,0,1800.0,600.0,1800.0,0.25,0.75,4.0,"{'chromium-browse': 67.89999999999999, 'mutter': 4.3, 'Xorg': 2.8, 'pulseaudio': 2.8}",8.192524288,327.692288,80.44385159349801,19.6,"{'chromium-browser': 20.445841466146167, 'Xorg': 1.920527086266479, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12639218,558741362,44576,406735
2022-02-28 14:33:53.971268,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 13 minutes",2022-02-28 10:20:38,54.53,1.4,4,0,600.0,600.0,1800.0,0.0,0.5,3.75,"{'chromium-browse': 67.69999999999999, 'mutter': 4.2, 'Xorg': 2.8, 'pulseaudio': 2.8}",8.192524288,327.852032,80.34120816267759,19.7,"{'chromium-browser': 20.504687699987198, 'Xorg': 1.9253767758863432, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12644598,558747435,44612,406798
2022-02-28 14:34:54.310612,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,127.0.0.1,"up 4 hours, 14 minutes",2022-02-28 10:20:38,54.53,0.4,4,0,1100.0,600.0,1800.0,0.0,0.5,3.5000000000000004,"{'chromium-browse': 67.39999999999999, 'mutter': 4.2, 'pulseaudio': 2.8, 'Xorg': 2.7}",8.192524288,327.888896,80.37945571483425,19.6,"{'chromium-browser': 20.507787501599896, 'Xorg': 1.917677268654806, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12646536,558752366,44635,406859
2022-02-28 14:35:54.676046,0.86,0x0,2.226,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 15 minutes",2022-02-28 10:20:38,54.043,0.3,4,0,700.0,600.0,1800.0,0.0,0.25,3.25,"{'chromium-browse': 67.19999999999999, 'mutter': 4.2, 'pulseaudio': 2.8, 'Xorg': 2.7}",8.192524288,327.917568,80.37595593881991,19.6,"{'chromium-browser': 20.507787501599896, 'Xorg': 1.9178272590554206, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12650298,558757327,44668,406916
2022-02-28 14:36:55.154160,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 16 minutes",2022-02-28 10:20:38,54.53,0.4,4,0,1100.0,600.0,1800.0,0.0,0.0,3.0,"{'chromium-browse': 66.99999999999999, 'mutter': 4.2, 'pulseaudio': 2.8, 'Xorg': 2.7}",8.192524288,327.94624,80.3455578842954,19.7,"{'chromium-browser': 20.510987296813003, 'Xorg': 1.9216770126711893, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12652201,558762151,44691,406974
2022-02-28 14:37:55.512001,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 17 minutes",2022-02-28 10:20:38,55.017,0.3,4,0,1100.0,600.0,1800.0,0.75,0.25,2.75,"{'chromium-browse': 66.4, 'mutter': 4.2, 'pulseaudio': 2.8, 'Xorg': 2.7}",8.192524288,327.979008,80.34310804108537,19.7,"{'chromium-browser': 20.514037101625494, 'Xorg': 1.9227269454754896, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12655575,558766281,44720,407029
2022-02-28 14:38:55.867075,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 18 minutes",2022-02-28 10:20:38,54.53,0.4,4,0,900.0,600.0,1800.0,0.25,0.25,2.5,"{'chromium-browse': 66.2, 'mutter': 4.2, 'pulseaudio': 2.8, 'Xorg': 2.7}",8.192524288,328.011776,80.33915829386919,19.7,"{'chromium-browser': 20.5172368968386, 'Xorg': 1.9237768782797902, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12657699,558771078,44745,407084
2022-02-28 14:39:56.346110,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 19 minutes",2022-02-28 10:20:38,54.53,0.4,4,0,600.0,600.0,1800.0,1.0,0.5,2.25,"{'chromium-browse': 65.9, 'mutter': 4.1, 'Xorg': 2.7, 'pulseaudio': 2.7}",8.192524288,328.040448,80.32880895622681,19.7,"{'chromium-browser': 20.517286893638808, 'Xorg': 1.925876743888391, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12660599,558775086,44768,407139
2022-02-28 14:40:56.668502,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,172.16.80.101,"up 4 hours, 20 minutes",2022-02-28 10:20:38,55.504,0.4,4,0,1100.0,600.0,1800.0,0.25,0.25,2.0,"{'chromium-browse': 65.80000000000001, 'mutter': 4.1, 'Xorg': 2.7, 'pulseaudio': 2.7}",8.192524288,328.081408,80.34815771790605,19.7,"{'chromium-browser': 20.507987488800715, 'Xorg': 1.9269266766926918, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12662059,558779405,44786,407196
2022-02-28 14:41:56.981276,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 21 minutes",2022-02-28 10:20:38,55.504,0.5,4,0,600.0,600.0,1800.0,0.0,0.25,2.0,"{'chromium-browse': 65.50000000000001, 'mutter': 4.1, 'Xorg': 2.7, 'pulseaudio': 2.7}",8.192524288,328.17152,80.33480857225138,19.7,"{'chromium-browser': 20.51228721361833, 'Xorg': 1.9278766158965825, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12674786,558799049,44849,407281
2022-02-28 14:42:57.408159,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 22 minutes",2022-02-28 10:20:38,55.017,0.4,4,0,800.0,600.0,1800.0,0.0,0.0,1.7500000000000002,"{'chromium-browse': 65.3, 'mutter': 4.1, 'Xorg': 2.7, 'pulseaudio': 2.7}",8.192524288,328.196096,80.3423580890823,19.7,"{'chromium-browser': 20.516136967234097, 'Xorg': 1.9290265423012927, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12676444,558804430,44870,407340
2022-02-28 14:43:57.789212,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 23 minutes",2022-02-28 10:20:38,53.069,0.4,4,0,700.0,600.0,1800.0,0.0,0.0,1.7500000000000002,"{'chromium-browse': 65.10000000000001, 'mutter': 4.1, 'Xorg': 2.7, 'pulseaudio': 2.7}",8.192524288,328.257536,80.35120752271854,19.6,"{'chromium-browser': 20.521986592858056, 'Xorg': 1.9262267214898248, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12680181,558810418,44900,407399
2022-02-28 14:44:58.109479,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 24 minutes",2022-02-28 10:20:38,52.582,0.4,4,0,800.0,600.0,1800.0,0.0,0.0,1.5,"{'chromium-browse': 64.80000000000001, 'mutter': 4.1, 'pulseaudio': 2.7, 'Xorg': 2.6}",8.192524288,328.306688,79.96728209394598,20.0,"{'chromium-browser': 19.132825499168053, 'Xorg': 1.9278266190963778, 'pcmanfm': 1.4734556988352747, 'mutter': 1.4237088826315116}",11.1,62.52857344,12682760,558815172,44930,407462
2022-02-28 14:45:58.535408,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 25 minutes",2022-02-28 10:20:38,52.095,0.4,4,0,1000.0,600.0,1800.0,0.0,0.0,1.5,"{'chromium-browse': 64.60000000000001, 'mutter': 4.0, 'pulseaudio': 2.7, 'Xorg': 2.6}",8.192524288,328.33536,80.30841026174325,19.7,"{'chromium-browser': 20.52838618328427, 'Xorg': 1.9285765710994496, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12686278,558820196,44961,407521
2022-02-28 14:46:58.875776,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 26 minutes",2022-02-28 10:20:38,52.095,0.4,4,0,900.0,600.0,1800.0,0.0,0.0,1.25,"{'chromium-browse': 64.30000000000001, 'mutter': 4.0, 'pulseaudio': 2.7, 'Xorg': 2.6}",8.192524288,328.37632,80.36355673236913,19.6,"{'chromium-browser': 20.521986592858056, 'Xorg': 1.923126919877128, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12688080,558832331,44983,407608
2022-02-28 14:47:59.209793,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 27 minutes",2022-02-28 10:20:38,52.095,0.4,4,0,900.0,600.0,1800.0,0.0,0.0,1.0,"{'chromium-browse': 64.0, 'mutter': 4.0, 'pulseaudio': 2.7, 'Xorg': 2.6}",8.192524288,328.421376,80.34410797708946,19.7,"{'chromium-browser': 20.533935828106998, 'Xorg': 1.9241768526814282, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12692142,558841374,45019,407686
2022-02-28 14:48:59.667071,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 28 minutes",2022-02-28 10:20:38,52.095,0.4,4,0,800.0,600.0,1800.0,0.0,0.0,1.0,"{'chromium-browse': 63.7, 'mutter': 4.0, 'pulseaudio': 2.7, 'Xorg': 2.6}",8.192524288,328.470528,80.34205810828107,19.7,"{'chromium-browser': 20.537435604121335, 'Xorg': 1.925226785485729, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12693649,558857504,45037,407783
2022-02-28 14:50:00.021252,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 29 minutes",2022-02-28 10:20:38,52.095,0.4,4,0,600.0,600.0,1800.0,0.0,0.0,0.75,"{'chromium-browse': 63.50000000000001, 'mutter': 4.0, 'Xorg': 2.6, 'pulseaudio': 2.6}",8.192524288,328.503296,80.32925892742864,19.7,"{'chromium-browser': 20.54053540573403, 'Xorg': 1.9262267214898248, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12696561,558863517,45060,407842
2022-02-28 14:51:00.345566,0.86,0x0,2.231,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 30 minutes",2022-02-28 10:20:38,52.095,0.3,4,0,800.0,600.0,1800.0,0.0,0.0,0.75,"{'chromium-browse': 63.2, 'mutter': 4.0, 'Xorg': 2.6, 'pulseaudio': 2.6}",8.192524288,328.531968,80.32960890503008,19.7,"{'chromium-browser': 20.54323523294509, 'Xorg': 1.9145774670421094, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12698631,558868182,45084,407897
2022-02-28 14:52:00.804446,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 31 minutes",2022-02-28 10:20:38,51.121,0.4,4,0,600.0,600.0,1800.0,0.0,0.0,0.5,"{'chromium-browse': 63.1, 'mutter': 4.0, 'Xorg': 2.6, 'pulseaudio': 2.6}",8.192524288,328.597504,80.33940827787022,19.7,"{'chromium-browser': 20.54418517214898, 'Xorg': 1.9156273998464097, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12704517,558897168,45123,408023
2022-02-28 14:53:01.077274,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 32 minutes",2022-02-28 10:20:38,51.608,0.4,4,0,800.0,600.0,1800.0,0.75,0.25,0.5,"{'chromium-browse': 62.800000000000004, 'mutter': 3.9, 'Xorg': 2.6, 'pulseaudio': 2.6}",8.192524288,328.638464,80.31345993856394,19.7,"{'chromium-browser': 20.537985568923585, 'Xorg': 1.9194271566619736, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12706366,558911844,45145,408122
2022-02-28 14:54:01.384488,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 33 minutes",2022-02-28 10:20:38,51.121,0.4,4,0,600.0,600.0,1800.0,2.25,1.25,0.75,"{'chromium-browse': 62.6, 'mutter': 3.9, 'Xorg': 2.6, 'pulseaudio': 2.6}",8.192524288,328.687616,80.31760967298094,19.7,"{'chromium-browser': 20.54408517854857, 'Xorg': 1.9181272398566491, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12710742,558930002,45183,408227
2022-02-28 14:55:06.877127,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 34 minutes",2022-02-28 10:20:38,50.634,0.4,4,0,600.0,600.0,1800.0,0.75,1.0,0.5,"{'chromium-browse': 62.4, 'mutter': 3.9, 'pulseaudio': 2.6, 'Xorg': 2.5}",8.192524288,328.72448,80.3194595545885,19.7,"{'chromium-browser': 20.54733497056188, 'Xorg': 1.91917717266095, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12712172,558937701,45200,408294
2022-02-28 14:56:07.174578,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 35 minutes",2022-02-28 10:20:38,51.608,0.4,4,0,600.0,600.0,1800.0,1.5,1.0,0.5,"{'chromium-browse': 62.20000000000001, 'mutter': 3.9, 'pulseaudio': 2.6, 'Xorg': 2.5}",8.192524288,328.740864,80.3141598937668,19.7,"{'chromium-browser': 20.552984608985025, 'Xorg': 1.9202271054652502, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12715150,558941074,45224,408342
2022-02-28 14:57:07.485852,0.86,0x0,2.231,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 36 minutes",2022-02-28 10:20:38,50.634,0.4,4,0,900.0,600.0,1800.0,0.5,0.75,0.5,"{'chromium-browse': 62.00000000000001, 'mutter': 3.9, 'pulseaudio': 2.6, 'Xorg': 2.5}",8.192524288,328.802304,80.30781030014079,19.7,"{'chromium-browser': 20.555034477793424, 'Xorg': 1.9212770382695508, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12717687,558945804,45253,408400
2022-02-28 14:58:07.954614,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 37 minutes",2022-02-28 10:20:38,51.608,0.4,4,0,700.0,600.0,1800.0,2.0,1.25,0.5,"{'chromium-browse': 61.7, 'mutter': 3.9, 'pulseaudio': 2.6, 'Xorg': 2.5}",8.192524288,328.835072,80.3006107609113,19.7,"{'chromium-browser': 20.559784173812876, 'Xorg': 1.9159273806476387, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12720905,558950386,45281,408457
2022-02-28 14:59:08.308702,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 38 minutes",2022-02-28 10:20:38,50.634,0.4,4,0,600.0,600.0,1800.0,0.75,1.0,0.5,"{'chromium-browse': 61.5, 'mutter': 3.9, 'pulseaudio': 2.6, 'Xorg': 2.5}",8.192524288,328.871936,80.29921085050557,19.7,"{'chromium-browser': 20.562983969025982, 'Xorg': 1.916977313451939, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12722203,558969179,45296,408564
2022-02-28 15:00:08.595044,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 39 minutes",2022-02-28 10:20:38,51.121,0.4,4,0,800.0,600.0,1800.0,0.25,0.75,0.25,"{'chromium-browse': 61.300000000000004, 'mutter': 3.8, 'Xorg': 2.5, 'pulseaudio': 2.5}",8.192524288,328.9088,80.30781030014079,19.7,"{'chromium-browser': 20.55468450019199, 'Xorg': 1.9180272462562395, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12726097,558981059,45330,408649
2022-02-28 15:01:09.054947,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 40 minutes",2022-02-28 10:20:38,50.634,0.4,4,0,600.0,600.0,1800.0,0.0,0.5,0.25,"{'chromium-browse': 61.1, 'mutter': 3.8, 'Xorg': 2.5, 'pulseaudio': 2.5}",8.192524288,328.945664,80.31066011775246,19.7,"{'chromium-browser': 20.557784301804684, 'Xorg': 1.9190771790605403, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12727294,558989677,45344,408713
2022-02-28 15:02:09.379773,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 41 minutes",2022-02-28 10:20:38,50.147,0.4,4,0,600.0,600.0,1800.0,0.0,0.5,0.0,"{'chromium-browse': 60.8, 'mutter': 3.8, 'Xorg': 2.5, 'pulseaudio': 2.5}",8.192524288,328.986624,80.3100101593498,19.7,"{'chromium-browser': 20.562284013823117, 'Xorg': 1.9201271118648406, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12733963,559012078,45393,408823
2022-02-28 15:03:14.855284,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 42 minutes",2022-02-28 10:20:38,51.121,0.4,4,0,900.0,600.0,1800.0,0.0,0.25,0.0,"{'chromium-browse': 60.6, 'mutter': 3.8, 'Xorg': 2.5, 'pulseaudio': 2.5}",8.192524288,329.027584,80.29951083130679,19.7,"{'chromium-browser': 20.557484321003457, 'Xorg': 1.9211270478689364, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12737363,559035709,45420,408953
2022-02-28 15:04:15.198149,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 43 minutes",2022-02-28 10:20:38,51.121,0.4,4,0,600.0,600.0,1800.0,0.0,0.0,0.0,"{'chromium-browse': 60.4, 'mutter': 3.8, 'Xorg': 2.5, 'pulseaudio': 2.5}",8.192524288,329.07264,80.28636167285293,19.7,"{'chromium-browser': 20.572033389863048, 'Xorg': 1.9222269774734415, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12739159,559041320,45441,409012
2022-02-28 15:05:15.520615,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 44 minutes",2022-02-28 10:20:38,50.147,0.4,4,0,800.0,600.0,1800.0,0.0,0.0,0.0,"{'chromium-browse': 60.199999999999996, 'mutter': 3.8, 'Xorg': 2.5, 'pulseaudio': 2.5}",8.192524288,329.125888,80.29256127607833,19.7,"{'chromium-browser': 20.57528318187636, 'Xorg': 1.923326907077947, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12743246,559046310,45476,409074
2022-02-28 15:06:16.010543,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 45 minutes",2022-02-28 10:20:38,51.121,0.4,4,0,900.0,600.0,1800.0,0.0,0.0,0.0,"{'chromium-browse': 60.00000000000001, 'mutter': 3.8, 'pulseaudio': 2.5, 'Xorg': 2.4}",8.192524288,329.150464,80.30666037373608,19.7,"{'chromium-browser': 20.56273398502496, 'Xorg': 1.9243768398822476, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12744464,559049623,45492,409121
2022-02-28 15:07:16.309257,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 46 minutes",2022-02-28 10:20:38,50.634,0.4,4,0,1000.0,600.0,1800.0,0.0,0.0,0.0,"{'chromium-browse': 59.7, 'mutter': 3.7, 'pulseaudio': 2.5, 'Xorg': 2.4}",8.192524288,329.158656,80.30671037053628,19.7,"{'chromium-browser': 20.56598377703827, 'Xorg': 1.925426772686548, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12747797,559054171,45519,409176
2022-02-28 15:08:16.657276,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 47 minutes",2022-02-28 10:20:38,50.634,0.4,4,0,800.0,600.0,1800.0,0.0,0.0,0.0,"{'chromium-browse': 59.6, 'mutter': 3.7, 'pulseaudio': 2.5, 'Xorg': 2.4}",8.192524288,329.187328,80.30256063611928,19.7,"{'chromium-browser': 20.569133575451172, 'Xorg': 1.920027118264431, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12750297,559071750,45549,409275
2022-02-28 15:09:17.080615,0.86,0x0,2.226,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 48 minutes",2022-02-28 10:20:38,49.66,0.4,4,0,600.0,600.0,1800.0,0.75,0.25,0.0,"{'chromium-browse': 59.199999999999996, 'mutter': 3.7, 'pulseaudio': 2.5, 'Xorg': 2.4}",8.192524288,329.224192,80.29891086970434,19.7,"{'chromium-browser': 20.57173340906182, 'Xorg': 1.9210770510687318, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12753751,559083535,45576,409359
2022-02-28 15:10:17.406465,0.86,0x0,2.226,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 49 minutes",2022-02-28 10:20:38,49.173,0.4,4,0,600.0,600.0,1800.0,0.25,0.0,0.0,"{'chromium-browse': 59.1, 'mutter': 3.7, 'pulseaudio': 2.5, 'Xorg': 2.4}",8.192524288,329.25696,80.29671101049533,19.7,"{'chromium-browser': 20.57318331626776, 'Xorg': 1.9221769806732367, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12755698,559087194,45600,409411
2022-02-28 15:11:22.869245,0.86,0x0,2.226,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 50 minutes",2022-02-28 10:20:38,50.147,0.5,4,0,600.0,600.0,1800.0,0.0,0.0,0.0,"{'chromium-browse': 58.8, 'mutter': 3.7, 'Xorg': 2.4, 'pulseaudio': 2.4}",8.192524288,329.285632,80.4092538077563,19.6,"{'chromium-browser': 20.480989216690134, 'Xorg': 1.922826939075899, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12758989,559091916,45626,409469
2022-02-28 15:12:23.193784,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 51 minutes",2022-02-28 10:20:38,51.121,0.4,4,0,600.0,600.0,1800.0,0.0,0.0,0.0,"{'chromium-browse': 58.699999999999996, 'mutter': 3.7, 'Xorg': 2.4, 'pulseaudio': 2.4}",8.192524288,329.326592,80.38630527646231,19.6,"{'chromium-browser': 20.4754395718674, 'Xorg': 1.924276846281838, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12763230,559109098,45659,409556
2022-02-28 15:13:23.519272,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 52 minutes",2022-02-28 10:20:38,49.173,0.3,4,0,800.0,600.0,1800.0,0.0,0.0,0.0,"{'chromium-browse': 58.599999999999994, 'mutter': 3.7, 'Xorg': 2.4, 'pulseaudio': 2.4}",8.192524288,329.367552,80.38210554524511,19.6,"{'chromium-browser': 20.481839162293614, 'Xorg': 1.9253267790861384, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12767192,559113481,45693,409609
2022-02-28 15:14:24.006534,0.86,0x0,2.228,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 53 minutes",2022-02-28 10:20:38,50.634,0.4,4,0,600.0,600.0,1800.0,0.0,0.0,0.0,"{'chromium-browse': 58.2, 'mutter': 3.7, 'Xorg': 2.4, 'pulseaudio': 2.4}",8.192524288,329.445376,80.38565531805965,19.6,"{'chromium-browser': 20.486488864712662, 'Xorg': 1.9263767118904391, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12769012,559124673,45714,409688
2022-02-28 15:15:24.363601,0.86,0x0,2.229,4 Model B 8Gb,11000000000000000000000000,dc:a6:32:d9:d1:56,Linux,aarch64,raspberrypi,192.168.11.12,"up 4 hours, 54 minutes",2022-02-28 10:20:38,50.634,0.4,4,0,600.0,600.0,1800.0,0.0,0.0,0.0,"{'chromium-browse': 58.099999999999994, 'mutter': 3.6, 'Xorg': 2.4, 'pulseaudio': 2.4}",8.192524288,329.478144,80.38355545245105,19.6,"{'chromium-browser': 20.486488864712662, 'Xorg': 1.9274266446947395, 'pcmanfm': 1.4734556988352747}",11.1,62.52857344,12772136,559129016,45738,409740
